,Manufacturer,Model,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Mileage,Engine,Power,Price
1613,Maruti,Maruti Ciaz ZXi,6,40347,Petrol,First,20.7,1373.0,91.2,780000.0
1614,Hyundai,Hyundai i20 1.4,10,60788,Diesel,First,23.0,1396.0,90.0,450000.0
1615,Honda,Honda Jazz 1.2,4,18664,Petrol,First,18.0,1199.0,88.7,756000.0
1616,Mahindra,Mahindra XUV500 W10,5,57847,Diesel,First,16.0,2179.0,140.0,1607999.9999999998
1617,Hyundai,Hyundai i20 1.2,10,52237,Petrol,First,17.0,1197.0,80.0,450000.0
1618,Hyundai,Hyundai Verna 1.6,10,128000,Diesel,First,22.3,1582.0,126.32,500000.0
1619,Hyundai,Hyundai i10 Era,11,54000,Petrol,First,19.8,1086.0,68.05,220000.00000000003
1620,Maruti,Maruti Celerio VXI,8,49800,Petrol,First,23.0,998.0,67.04,400000.0
1621,Skoda,Skoda Fabia 1.2,10,98000,Diesel,First,20.8,1199.0,73.9,250999.99999999997
1622,Maruti,Maruti Swift VDI,7,60095,Diesel,First,25.0,1248.0,74.0,475000.0
1623,Hyundai,Hyundai i10 Magna(O),14,68000,Petrol,Second,16.0,1086.0,66.7,200000.0
1624,Hyundai,Hyundai i10 Magna,12,81402,Petrol,Second,20.3,1197.0,78.9,210000.0
1625,Ford,Ford Ecosport 1.5,9,38000,Petrol,First,16.0,1499.0,110.0,625000.0
1626,Mercedes-Benz,Mercedes-Benz E-Class 2009-2013,11,92239,Diesel,Second,11.0,2987.0,210.0,1060000.0
1627,Maruti,Maruti Swift VDI,5,49224,Diesel,First,25.0,1248.0,74.0,600000.0
1628,Maruti,Maruti 800 Std,18,12000,Petrol,Second,16.0,796.0,37.0,45000.0
1629,Maruti,Maruti Swift Lxi,12,54898,Petrol,Third,16.0,1298.0,88.2,250000.0
1630,Hyundai,Hyundai Creta 1.6,4,2500,Petrol,First,15.2,1591.0,121.3,1275000.0
1631,BMW,BMW X1 M,5,32838,Diesel,First,17.0,1995.0,190.0,3029000.0
1632,Ford,Ford Ikon 1.3,16,27076,Petrol,First,13.0,1299.0,70.0,160000.0
1633,Ford,Ford Ecosport 1.5,5,75445,Diesel,First,22.0,1498.0,89.84,754000.0
1634,Maruti,Maruti Ciaz VXi,7,46601,Petrol,First,20.7,1373.0,91.1,684000.0
1635,Volkswagen,Volkswagen Passat Diesel,10,72000,Diesel,First,18.3,1968.0,167.7,600000.0
1636,Honda,Honda Jazz 1.5,5,27000,Diesel,First,27.0,1498.0,98.6,800000.0
1637,Audi,Audi A4 35,6,68193,Diesel,First,17.1,1968.0,174.33,2474000.0
1638,Hyundai,Hyundai Grand i10,5,34429,Diesel,First,24.0,1120.0,70.0,550000.0
1639,Mercedes-Benz,Mercedes-Benz GL-Class 2007,9,46000,Diesel,First,12.0,2987.0,224.0,3600000.0
1640,Toyota,Toyota Innova 2.5,9,80544,Diesel,First,12.9,2494.0,100.6,1179000.0
1641,Nissan,Nissan Sunny 2011-2014,11,42000,Petrol,Second,16.9,1498.0,97.7,300000.0
1642,Skoda,Skoda Laura Ambiente,11,94821,Diesel,Second,20.0,1968.0,138.1,675000.0
1643,Chevrolet,Chevrolet Aveo 1.4,16,100000,Petrol,First,14.4,1399.0,92.7,140000.0
1644,Honda,Honda Mobilio V,8,57000,Diesel,First,24.0,1498.0,98.6,575000.0
1645,Maruti,Maruti Ritz VDi,12,79894,Diesel,First,21.0,1248.0,73.9,340000.0
1646,Volkswagen,Volkswagen Polo Petrol,11,44748,Petrol,Second,16.4,1198.0,73.9,488999.99999999994
1647,Nissan,Nissan Terrano XL,9,31000,Petrol,First,13.2,1598.0,102.5,495000.0
1648,Maruti,Maruti A-Star AT,9,60587,Petrol,Second,16.9,998.0,66.1,349000.0
1649,Toyota,Toyota Etios Liva,11,32000,Diesel,First,23.5,1364.0,113.2722029281571,385000.0
1650,Honda,Honda City 1.5,8,43772,Petrol,First,17.0,1497.0,118.0,635000.0
1651,Hyundai,Hyundai Grand i10,5,23576,Petrol,First,18.0,1197.0,82.0,708000.0
1652,Jaguar,Jaguar XE 2.0L,5,4000,Diesel,First,13.0,1999.0,177.0,3800000.0
1653,Mahindra,Mahindra Scorpio VLX,10,62000,Diesel,First,12.0,2179.0,120.0,625000.0
1654,Mercedes-Benz,Mercedes-Benz New C-Class,11,36000,Petrol,First,11.7,1796.0,186.0,1015000.0
1655,Skoda,Skoda Superb Elegance,8,80000,Petrol,First,13.0,1798.0,157.75,1075000.0
1656,Chevrolet,Chevrolet Cruze LTZ,10,137008,Diesel,First,18.0,1991.0,147.9,465000.00000000006
1657,Mahindra,Mahindra Scorpio VLX,12,61001,Diesel,First,12.0,2179.0,120.0,475000.0
1658,Hyundai,Hyundai Verna 1.6,7,52191,Petrol,First,17.0,1591.0,121.3,778000.0
1659,Hyundai,Hyundai i20 1.4,6,77076,Diesel,First,23.0,1396.0,90.0,675000.0
1660,Honda,Honda City ZX,14,56000,Petrol,First,16.0,1497.0,78.0,299000.0
1661,Hyundai,Hyundai i10 Magna,9,21000,Petrol,First,20.3,1197.0,78.9,235000.0
1662,Honda,Honda Amaze S,9,89429,Diesel,First,25.0,1498.0,98.6,365000.0
1663,Maruti,Maruti Wagon R,10,45631,Petrol,Second,22.0,998.0,67.04,274000.0
1664,Honda,Honda Brio S,9,53959,Petrol,First,19.0,1198.0,86.8,350000.0
1665,Hyundai,Hyundai i20 1.2,8,55804,Petrol,First,17.0,1197.0,80.0,476000.0
1666,Volkswagen,Volkswagen Vento 2013-2015,6,25899,Petrol,First,15.0,1598.0,103.2,620000.0
1667,Skoda,Skoda Octavia Rider,14,82000,Diesel,Second,18.0,1896.0,66.0,235000.0
1668,Mercedes-Benz,Mercedes-Benz E-Class 2015-2017,8,52000,Diesel,First,13.0,2143.0,204.0,2450000.0
1669,Renault,Renault Duster Petrol,9,20000,Petrol,First,13.2,1598.0,102.57,600000.0
1670,Hyundai,Hyundai EON Sportz,5,31829,Petrol,First,21.0,814.0,55.2,365000.0
1671,Maruti,Maruti Swift VXI,6,18094,Petrol,Second,18.0,1197.0,85.8,626000.0
1672,Nissan,Nissan Micra Diesel,11,80000,Diesel,Second,19.0,1461.0,113.2722029281571,210000.0
1673,Audi,Audi Q5 3.0,7,11964,Diesel,First,13.2,2967.0,241.4,3295000.0000000005
1674,Hyundai,Hyundai i20 1.2,4,22684,Petrol,First,18.0,1197.0,81.83,780000.0
1675,Honda,Honda Brio S,8,43521,Petrol,First,19.0,1198.0,86.8,425000.0
1676,Maruti,Maruti Swift Dzire,8,49386,Petrol,First,17.0,1298.0,85.8,486000.00000000006
1677,Hyundai,Hyundai Grand i10,5,12248,Petrol,First,18.0,1197.0,81.86,490000.00000000006
1678,Mahindra,Mahindra Xylo E8,8,67771,Diesel,First,11.6,2498.0,112.0,706000.0
1679,Volkswagen,Volkswagen Polo GTI,7,60007,Petrol,First,17.2,1798.0,189.0,450000.0
1680,Maruti,Maruti Alto K10,11,48624,Petrol,First,24.0,998.0,67.1,322000.0
1681,Volkswagen,Volkswagen Polo Diesel,8,30000,Diesel,First,22.0,1199.0,73.9,325000.0
1682,Hyundai,Hyundai Grand i10,6,81605,Petrol,First,18.0,1197.0,82.0,453000.0
1683,Mercedes-Benz,Mercedes-Benz New C-Class,5,32642,Diesel,First,14.8,2143.0,170.0,3478000.0
1684,Hyundai,Hyundai Verna 1.6,8,34200,Petrol,First,15.7,1591.0,121.3,650000.0
1685,Fiat,Fiat Punto EVO,12,72204,Petrol,First,15.0,1172.0,67.0,225000.0
1686,Toyota,Toyota Innova 2.5,11,156347,Diesel,Second,12.9,2494.0,100.0,800000.0
1687,Mahindra,Mahindra TUV 300,5,47357,Diesel,First,18.4,1493.0,100.0,836999.9999999999
1688,Volkswagen,Volkswagen Polo 1.5,7,61738,Diesel,First,20.1,1498.0,88.8,539000.0
1689,BMW,BMW 5 Series,4,32586,Diesel,First,22.4,1995.0,190.0,3729999.9999999995
1690,Mercedes-Benz,Mercedes-Benz GLE 350d,4,40129,Diesel,First,11.5,2987.0,254.79,7080000.0
1691,Mercedes-Benz,Mercedes-Benz M-Class ML,10,51000,Diesel,First,11.7,2987.0,254.8,2225000.0
1692,Hyundai,Hyundai Grand i10,4,10393,Petrol,First,18.0,1197.0,81.86,603000.0
1693,Skoda,Skoda Superb Elegance,11,46000,Petrol,First,13.0,1798.0,157.75,490000.00000000006
1694,Hyundai,Hyundai i10 Sportz,9,21000,Petrol,First,16.9,1197.0,78.9,396000.0
1695,Hyundai,Hyundai i20 1.4,11,113562,Diesel,First,23.0,1396.0,90.0,459999.99999999994
1696,Mahindra,Mahindra Scorpio VLX,11,100010,Diesel,Second,12.0,2179.0,120.0,550000.0
1697,Honda,Honda Brio V,9,63107,Petrol,First,19.0,1198.0,86.8,325000.0
1698,Hyundai,Hyundai i20 1.2,5,58500,Petrol,First,18.0,1197.0,81.83,625000.0
1699,Ford,Ford Endeavour 4x2,15,90000,Diesel,Fourth & Above,10.0,2499.0,143.0,300000.0
1700,Hyundai,Hyundai Verna CRDi,11,108242,Diesel,First,16.0,1493.0,110.0,425000.0
1701,Toyota,Toyota Fortuner 3.0,11,146300,Diesel,First,11.0,2982.0,171.0,1225000.0
1702,BMW,BMW X1 sDrive20d,11,62943,Diesel,Second,17.0,1995.0,184.0,1095000.0
1703,Toyota,Toyota Fortuner 4x2,9,65000,Diesel,First,12.5,2982.0,168.5,1650000.0
1704,Honda,Honda Amaze V,4,1700,Petrol,First,19.0,1199.0,88.76,780000.0
1705,Hyundai,Hyundai i10 Era,9,34697,Petrol,First,19.8,1086.0,68.05,370000.0
1706,Hyundai,Hyundai i20 1.2,10,58000,Petrol,First,17.0,1197.0,80.0,400000.0
1707,BMW,BMW 3 Series,7,32500,Diesel,First,19.5,1995.0,187.74,2675000.0
1708,Audi,Audi Q3 35,6,58661,Diesel,First,15.1,1968.0,181.0,2803000.0
1709,Maruti,Maruti Swift VXI,5,37124,Petrol,First,20.0,1197.0,81.8,544000.0
1710,Maruti,Maruti Baleno Delta,5,44000,Petrol,First,21.0,1197.0,83.1,620000.0
1711,Hyundai,Hyundai Accent GLE,17,45200,Petrol,First,13.0,1495.0,94.0,90000.0
1712,Maruti,Maruti Ritz LXi,6,11000,Petrol,First,18.0,1197.0,85.8,395000.0
1713,Tata,Tata Nano Lx,11,65000,Petrol,Second,26.0,624.0,35.0,44000.0
1714,Ford,Ford Figo Diesel,10,55005,Diesel,First,20.0,1399.0,68.0,275000.0
1715,Volkswagen,Volkswagen Passat Diesel,11,81650,Diesel,First,18.3,1968.0,167.7,750000.0
1716,Fiat,Fiat Linea Emotion,12,160000,Diesel,Second,19.0,1248.0,93.0,250000.0
1717,Mahindra,Mahindra Xylo D4,7,169000,Diesel,First,14.9,2489.0,93.7,500000.0
1718,Maruti,Maruti Wagon R,9,67263,Petrol,First,18.0,998.0,67.1,360000.0
1719,Toyota,Toyota Etios G,10,44223,Petrol,First,17.0,1496.0,88.7,399000.0
1720,Hyundai,Hyundai Grand i10,7,36840,Petrol,First,18.0,1197.0,82.0,564000.0
1721,Toyota,Toyota Innova 2.5,8,160000,Diesel,First,12.9,2494.0,100.0,1200000.0
1722,Tata,Tata Indica V2,14,133000,Diesel,First,16.0,1405.0,62.0,70000.0
1723,BMW,BMW 3 Series,7,69123,Diesel,First,18.8,1995.0,184.0,1900000.0
1724,Ford,Ford Endeavour 3.2,5,38000,Diesel,First,10.9,3198.0,197.0,3048000.0
1725,Maruti,Maruti Ciaz Zeta,5,5500,Petrol,First,21.5,1462.0,103.25,819999.9999999999
1726,Ford,Ford Figo 1.5D,7,1001,Diesel,First,25.8,1498.0,99.0,755000.0
1727,Chevrolet,Chevrolet Aveo U-VA,15,59000,Petrol,Third,15.2,1150.0,74.9,99000.0
1728,Honda,Honda City 1.5,11,78256,Petrol,First,16.0,1497.0,118.0,415000.00000000006
1729,Nissan,Nissan Sunny XL,6,90000,Petrol,First,16.9,1498.0,97.6,620000.0
1730,Maruti,Maruti Swift Dzire,6,18000,Petrol,First,19.0,1197.0,85.8,440000.00000000006
1731,Ford,Ford Figo Diesel,10,60000,Diesel,First,20.0,1399.0,68.0,210000.0
1732,Fiat,Fiat Grande Punto,11,130000,Diesel,First,20.0,1248.0,75.0,220000.00000000003
1733,Hyundai,Hyundai Elite i20,4,32851,Petrol,First,18.0,1197.0,81.86,834000.0
1734,Maruti,Maruti Swift Dzire,8,32000,Diesel,First,23.0,1248.0,74.0,434999.99999999994
1735,Ford,Ford Ecosport 1.5,8,62700,Diesel,First,22.0,1498.0,89.84,680000.0
1736,Maruti,Maruti Swift Dzire,12,71000,Diesel,First,19.0,1248.0,73.9,330000.0
1737,Hyundai,Hyundai Grand i10,6,19947,Petrol,First,18.0,1197.0,82.0,504000.0
1738,Ford,Ford Endeavour 3.0L,10,91000,Diesel,First,11.0,2953.0,153.86,919999.9999999999
1739,Volkswagen,Volkswagen Polo Diesel,8,74000,Diesel,First,22.0,1199.0,73.9,570000.0
1740,Mahindra,Mahindra TUV 300,4,55594,Diesel,First,18.4,1493.0,100.0,848000.0
1741,BMW,BMW X6 xDrive,9,58000,Diesel,First,11.0,2993.0,306.0,4800000.0
1742,Renault,Renault Duster 110PS,10,110224,Diesel,First,19.0,1461.0,108.45,610000.0
1743,Maruti,Maruti Wagon R,12,21002,Petrol,First,22.0,998.0,67.04,275000.0
1744,Maruti,Maruti Ertiga SHVS,5,121000,Diesel,First,24.5,1248.0,88.5,800000.0
1745,Maruti,Maruti Alto LXi,12,73513,Petrol,First,19.0,796.0,46.3,185000.0
1746,Maruti,Maruti Wagon R,7,34000,Petrol,First,20.5,998.0,67.0,385000.0
1747,Maruti,Maruti Eeco 7,5,28371,Petrol,First,15.0,1196.0,73.0,474000.0
1748,Renault,Renault Duster 110PS,9,74755,Diesel,First,19.0,1461.0,108.45,563000.0
1749,Maruti,Maruti Zen Estilo,11,25805,Petrol,First,18.0,1061.0,64.0,262000.0
1750,Renault,Renault Duster Petrol,7,82603,Petrol,First,13.0,1598.0,102.53,490000.00000000006
1751,Honda,Honda Civic 2006-2010,16,110000,Petrol,First,13.0,1799.0,130.0,265000.0
1752,Mahindra,Mahindra XUV500 W8,10,88000,Diesel,First,16.0,2179.0,140.0,599000.0
1753,Mahindra,Mahindra Verito 1.5,11,110000,Diesel,Second,21.0,1461.0,64.1,240000.0
1754,Renault,Renault KWID Climber,5,15000,Petrol,First,21.0,999.0,67.0,425000.0
1755,Porsche,Porsche Cayenne Diesel,9,70000,Diesel,First,15.1,2967.0,240.0,4000000.0
1756,Maruti,Maruti Swift DDiS,14,150000,Diesel,Second,28.0,1248.0,74.0,270000.0
1757,Datsun,Datsun GO T,6,19000,Petrol,First,20.6,1198.0,67.0,299000.0
1758,Hyundai,Hyundai i20 1.2,11,37442,Petrol,First,18.0,1197.0,80.0,340000.0
1759,BMW,BMW 5 Series,6,63111,Diesel,Second,18.1,1995.0,190.0,3080000.0
1760,Maruti,Maruti Ertiga ZDI,10,88000,Diesel,First,20.7,1248.0,88.8,585000.0
1761,Hyundai,Hyundai Grand i10,8,42355,Petrol,First,18.0,1197.0,82.0,400000.0
1762,BMW,BMW 3 Series,11,75871,Petrol,First,9.4,2996.0,254.0,1412000.0
1763,Chevrolet,Chevrolet Cruze LTZ,11,65000,Diesel,First,17.0,1998.0,163.7,455000.0
1764,Mercedes-Benz,Mercedes-Benz M-Class ML,7,69000,Diesel,First,0.0,2987.0,165.0,3800000.0
1765,Maruti,Maruti Ritz LDi,11,79232,Diesel,First,21.0,1248.0,73.9,290000.0
1766,Mercedes-Benz,Mercedes-Benz New C-Class,15,220000,Petrol,Second,11.7,1796.0,186.0,600000.0
1767,Hyundai,Hyundai i20 1.2,6,28470,Petrol,First,18.0,1197.0,81.83,695000.0
1768,Hyundai,Hyundai EON 1.0,8,9759,Petrol,First,20.0,998.0,68.05,275000.0
1769,Maruti,Maruti Swift VDI,8,75216,Diesel,First,22.0,1248.0,74.0,509999.99999999994
1770,Hyundai,Hyundai i20 Sportz,5,8000,Petrol,First,18.0,1197.0,81.83,675000.0
1771,Maruti,Maruti Ritz ZXi,8,59451,Petrol,First,18.0,1197.0,85.8,369000.0
1772,Maruti,Maruti Swift VDI,9,53996,Diesel,First,22.0,1248.0,74.0,545000.0
1773,Honda,Honda WRV i-VTEC,4,15135,Petrol,First,17.0,1199.0,88.7,928999.9999999999
1774,Hyundai,Hyundai Xcent 1.2,7,53000,Petrol,Second,16.0,1197.0,81.86,400000.0
1775,Honda,Honda Amaze E,9,40000,Petrol,First,18.0,1198.0,86.7,290000.0
1776,Hyundai,Hyundai Verna 1.6,9,21107,Petrol,First,17.0,1591.0,121.3,525000.0
1777,Honda,Honda City V,8,56000,Petrol,First,16.0,1497.0,116.3,575000.0
1778,Hyundai,Hyundai Creta 1.6,5,19623,Petrol,First,15.2,1591.0,121.3,1312000.0
1779,Mahindra,Mahindra XUV500 W8,8,70963,Diesel,First,15.0,2179.0,140.0,783000.0
1780,Maruti,Maruti Wagon R,9,25755,CNG,First,37.24,998.0,58.16,315000.0
1781,Toyota,Toyota Innova 2.5,9,51450,Diesel,First,12.0,2494.0,102.0,1040000.0
1782,Maruti,Maruti Swift VDI,10,75000,Diesel,First,22.0,1248.0,74.0,434999.99999999994
1783,Maruti,Maruti Wagon R,5,37832,Petrol,First,22.0,998.0,67.0,523000.00000000006
1784,Hyundai,Hyundai Grand i10,6,43041,Petrol,First,18.0,1197.0,81.86,601000.0
1785,Honda,Honda Amaze VX,8,97236,Diesel,First,25.0,1498.0,98.6,440000.00000000006
1786,BMW,BMW 3 Series,12,83000,Diesel,First,16.0,1995.0,181.0,1275000.0
1787,Ford,Ford Figo Petrol,11,65000,Petrol,First,15.0,1196.0,70.0,240000.0
1788,Volkswagen,Volkswagen Ameo 1.2,4,46007,Petrol,First,17.0,1198.0,73.75,571000.0
1789,Ford,Ford Ecosport 1.5,7,65925,Diesel,Second,22.0,1498.0,89.84,549000.0
1790,Honda,Honda City 1.3,18,73500,Petrol,Second,13.0,1343.0,90.0,130000.0
1791,Mahindra,Mahindra XUV500 W6,8,55000,Diesel,First,16.0,2179.0,140.0,850000.0
1792,Toyota,Toyota Fortuner 4x2,10,115000,Diesel,First,13.0,2982.0,168.5,1299000.0
1793,Hyundai,Hyundai Grand i10,5,31184,Petrol,First,18.0,1197.0,81.86,500000.0
1794,Maruti,Maruti Dzire AMT,5,41747,Diesel,First,28.0,1248.0,73.75,900000.0
1795,Maruti,Maruti Swift VDI,6,38143,Diesel,First,22.0,1248.0,74.0,522000.0
1796,Volkswagen,Volkswagen Polo Petrol,10,19030,Petrol,First,16.4,1198.0,73.9,380000.0
1797,Toyota,Toyota Etios Liva,3,20877,Petrol,First,18.1,1197.0,78.9,727000.0
1798,Maruti,Maruti Swift VXI,6,23555,Petrol,First,22.0,1197.0,81.8,509999.99999999994
1799,Mercedes-Benz,Mercedes-Benz E-Class 2009-2013,9,29000,Diesel,First,14.2,2143.0,203.0,2900000.0
1800,Maruti,Maruti Wagon R,9,61000,Petrol,First,18.0,998.0,67.1,290000.0
1801,Tata,Tata Nano Lx,10,4187,Petrol,First,26.0,624.0,35.0,138000.0
1802,Skoda,Skoda Laura 1.8,11,46000,Petrol,First,13.0,1798.0,157.8,550000.0
1803,Volkswagen,Volkswagen Polo GT,6,28000,Petrol,First,17.2,1197.0,103.5,725000.0
1804,Hyundai,Hyundai Verna 1.6,8,83558,Diesel,First,22.3,1582.0,126.32,698000.0
1805,Tata,Tata Bolt Quadrajet,5,40000,Diesel,First,22.9,1248.0,74.0,525000.0
1806,Hyundai,Hyundai EON D,9,36000,Petrol,First,21.0,814.0,55.2,195000.0
1807,Audi,Audi A4 2.0,8,21000,Diesel,First,17.1,1968.0,174.33,2450000.0
1808,Toyota,Toyota Innova 2.5,9,62162,Diesel,First,12.9,2494.0,100.0,831000.0
1809,Mercedes-Benz,Mercedes-Benz M-Class ML,10,83000,Diesel,First,11.7,2987.0,254.8,3600000.0
1810,Hyundai,Hyundai Xcent 1.1,7,58000,Diesel,First,24.0,1120.0,71.0,550000.0
1811,Honda,Honda Accord 2.4,11,62332,Petrol,First,11.0,2354.0,177.6,589000.0
1812,Volkswagen,Volkswagen Vento 1.5,6,50867,Diesel,First,20.3,1498.0,103.2,795000.0
1813,Hyundai,Hyundai i20 Sportz,12,73000,Petrol,First,17.0,1197.0,80.0,275000.0
1814,Hyundai,Hyundai Elantra CRDi,10,98008,Diesel,First,22.0,1582.0,126.24,625000.0
1815,Ford,Ford Figo Diesel,7,36000,Diesel,First,20.0,1399.0,68.05,495000.0
1816,Hyundai,Hyundai i20 1.2,3,27339,Petrol,First,18.0,1197.0,81.83,627000.0
1817,Hyundai,Hyundai Verna 1.6,5,25000,Diesel,First,23.0,1582.0,126.2,865000.0
1818,Hyundai,Hyundai Grand i10,8,37000,Petrol,First,18.0,1197.0,82.0,350000.0
1819,Audi,Audi Q5 2.0,7,56000,Diesel,First,14.1,1968.0,174.3,3500000.0
1820,Maruti,Maruti Swift Dzire,7,27000,Petrol,First,17.0,1298.0,85.8,445000.0
1821,Hyundai,Hyundai i20 Magna,10,37000,Petrol,First,18.0,1197.0,80.0,265000.0
1822,Mahindra,Mahindra KUV 100,5,10500,Diesel,First,25.3,1198.0,77.0,470000.0
1823,Hyundai,Hyundai Elantra 1.6,8,49000,Diesel,First,18.2,1582.0,126.2,890000.0
1824,Jeep,Jeep Compass 2.0,5,7000,Diesel,First,17.0,1956.0,170.0,1745000.0
1825,Maruti,Maruti Vitara Brezza,5,71256,Diesel,First,24.0,1248.0,88.5,958000.0
1826,Toyota,Toyota Corolla Altis,10,83184,Petrol,First,14.2,1798.0,138.03,622000.0
1827,Mahindra,Mahindra XUV500 W8,9,87284,Diesel,First,15.0,2179.0,140.0,780000.0
1828,BMW,BMW X1 xDrive,6,7000,Diesel,First,20.6,1995.0,190.0,2775000.0
1829,Hyundai,Hyundai i20 Magna,7,29000,Diesel,Second,22.5,1396.0,88.73,700000.0
1830,Mercedes-Benz,Mercedes-Benz GLE 350d,5,33552,Diesel,First,11.5,2987.0,254.79,6487000.0
1831,Chevrolet,Chevrolet Cruze LTZ,9,64000,Diesel,Second,17.0,1998.0,163.7,650000.0
1832,Hyundai,Hyundai i20 1.2,11,82000,Petrol,Second,18.0,1197.0,80.0,270000.0
1833,Honda,Honda Brio S,10,70000,Petrol,Second,19.0,1198.0,86.8,250000.0
1834,Nissan,Nissan Evalia 2013,9,166194,Diesel,First,19.0,1461.0,84.8,390000.0
1835,Volkswagen,Volkswagen Polo Petrol,7,58000,Petrol,First,16.4,1198.0,73.9,395000.0
1836,Hyundai,Hyundai i10 Sportz,12,77000,Petrol,Second,20.3,1197.0,78.9,210000.0
1837,Chevrolet,Chevrolet Cruze LTZ,13,73204,Diesel,Third,18.0,1991.0,147.9,350000.0
1838,Hyundai,Hyundai i10 Era,15,70000,Petrol,Second,19.8,1086.0,68.05,200000.0
1839,Maruti,Maruti Ertiga VDI,8,79870,Diesel,First,20.7,1248.0,88.76,535000.0
1840,Honda,Honda Amaze S,9,90000,Diesel,First,25.0,1498.0,98.6,380000.0
1841,Mercedes-Benz,Mercedes-Benz A Class,6,17000,Petrol,First,15.0,1595.0,122.0,1725000.0
1842,Hyundai,Hyundai Grand i10,4,46493,Petrol,First,18.0,1197.0,81.86,553000.0
1843,Hyundai,Hyundai i10 Sportz,13,68000,Petrol,Third,20.3,1197.0,78.9,195000.0
1844,Maruti,Maruti Swift DDiS,5,2000,Diesel,First,28.0,1248.0,74.0,819999.9999999999
1845,Honda,Honda City 1.3,23,140000,Petrol,First,13.0,1343.0,90.0,90000.0
1846,Toyota,Toyota Innova 2.5,9,255000,Diesel,Third,12.9,2494.0,100.6,650000.0
1847,Mini,Mini Cooper Countryman,8,45535,Diesel,First,23.0,1998.0,112.0,1941000.0
1848,Fiat,Fiat Linea T-Jet,6,39228,Petrol,First,15.0,1368.0,112.4,658000.0
1849,Chevrolet,Chevrolet Aveo 1.4,11,57000,Petrol,Second,14.4,1399.0,92.7,210000.0
1850,Hyundai,Hyundai i10 Era,14,85445,Petrol,Second,19.8,1086.0,68.05,200000.0
1851,Hyundai,Hyundai Xcent 1.1,7,54000,Diesel,First,24.0,1120.0,71.0,370000.0
1852,Maruti,Maruti Celerio VXI,8,53000,Petrol,First,23.0,998.0,67.04,380000.0
1853,Hyundai,Hyundai i10 Sportz,8,60000,Petrol,First,20.3,1197.0,78.9,325000.0
1854,Renault,Renault Duster 85PS,7,65668,Diesel,First,19.8,1461.0,83.8,553000.0
1855,BMW,BMW 3 Series,11,100000,Diesel,Second,22.6,1995.0,190.0,1090000.0
1856,Hyundai,Hyundai Grand i10,4,1800,Petrol,First,18.0,1197.0,82.0,509999.99999999994
1857,Hyundai,Hyundai Santro DX,15,96000,Petrol,Second,0.0,999.0,113.2722029281571,220000.00000000003
1858,Chevrolet,Chevrolet Spark 1.0,13,44200,Petrol,Second,18.0,995.0,62.0,160000.0
1859,Honda,Honda City i,4,14000,Petrol,First,17.0,1497.0,117.3,1125000.0
1860,Volkswagen,Volkswagen Vento Diesel,9,720000,Diesel,First,20.5,1598.0,103.6,590000.0
1861,Toyota,Toyota Fortuner 4x2,10,73000,Diesel,First,11.0,2982.0,169.0,1440000.0
1862,Honda,Honda City 1.5,11,68000,Petrol,First,17.0,1497.0,118.0,360000.0
1863,BMW,BMW 5 Series,5,19543,Diesel,First,18.1,1995.0,190.0,4050000.0
1864,Audi,Audi Q5 30,8,38000,Diesel,Second,14.1,1968.0,174.3,3895000.0000000005
1865,Maruti,Maruti Ritz LDi,8,32805,Diesel,First,23.0,1248.0,73.94,360000.0
1866,Volkswagen,Volkswagen Vento 1.5,6,44782,Diesel,First,21.2,1498.0,103.2,712000.0
1867,Honda,Honda City i,6,55700,Diesel,First,26.0,1498.0,98.6,752000.0
1868,Audi,Audi A4 New,10,60000,Diesel,Second,15.0,1968.0,140.8,1035000.0
1869,Skoda,Skoda Rapid 1.6,8,56000,Petrol,First,15.0,1598.0,103.52,700000.0
1870,Toyota,Toyota Fortuner 3.0,11,60000,Diesel,First,11.0,2982.0,171.0,1085000.0
1871,Chevrolet,Chevrolet Optra Magnum,12,78563,Diesel,First,16.5,1991.0,123.7,235000.0
1872,Maruti,Maruti Eeco 7,8,34669,Petrol,First,15.0,1196.0,73.0,290000.0
1873,Maruti,Maruti Ciaz ZXi,5,17000,Petrol,First,20.7,1373.0,91.1,765000.0
1874,Maruti,Maruti Ciaz VDi,6,66000,Diesel,First,28.0,1248.0,88.5,640000.0
1875,Toyota,Toyota Innova 2.5,8,102418,Diesel,First,12.9,2494.0,100.6,1010000.0
1876,Maruti,Maruti Swift Dzire,8,48800,Petrol,First,19.0,1197.0,85.8,425000.0
1877,Toyota,Toyota Innova Crysta,3,10601,Diesel,First,11.3,2755.0,171.5,1964999.9999999998
1878,Tata,Tata Indica V2,5,8200,Diesel,First,25.0,1396.0,69.0,440000.00000000006
1879,Hyundai,Hyundai i20 Magna,10,100000,Petrol,First,18.0,1197.0,82.85,325000.0
1880,Ford,Ford Fiesta 1.4,10,78000,Diesel,First,17.0,1399.0,68.0,280000.0
1881,Chevrolet,Chevrolet Enjoy 1.3,7,50000,Diesel,First,18.0,1248.0,73.74,430000.0
1882,Ford,Ford Fiesta 1.4,16,89327,Diesel,Third,17.0,1399.0,68.0,155000.0
1883,Honda,Honda CR-V 2.4,15,98000,Petrol,Second,10.0,2354.0,152.0,470000.0
1884,Honda,Honda Jazz 1.2,5,24700,Petrol,First,18.0,1199.0,88.7,707000.0
