,Manufacturer,Model,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Mileage,Engine,Power,Price
759,Maruti,Maruti Swift VXI,2016,37806,Petrol,First,20.4,1197.0,81.8,520000.0
760,Maruti,Maruti A-Star Vxi,2009,85000,Petrol,Third,19.0,998.0,66.1,180000.0
761,Tata,Tata Nano Lx,2011,35000,Petrol,First,25.4,624.0,37.48,160000.0
762,Ford,Ford Figo Titanium,2015,72035,Diesel,First,25.5,1498.0,99.0,250000.0
763,Fiat,Fiat Linea Emotion,2011,48500,Petrol,First,16.0,1368.0,90.0,250000.0
764,Ford,Ford Figo Aspire,2017,28854,Petrol,First,18.16,1196.0,86.8,670000.0
765,Maruti,Maruti Baleno LXI,2005,92450,Petrol,First,15.4,1590.0,94.0,120000.0
766,BMW,BMW 3 Series,2016,14351,Diesel,First,18.88,1995.0,184.0,3554999.9999999995
767,Chevrolet,Chevrolet Cruze LTZ,2017,51087,Diesel,First,17.9,1998.0,163.7,775000.0
768,Mahindra,Mahindra Scorpio 2.6,2005,50000,Diesel,First,12.7,2609.0,116.6,194000.0
769,Tata,Tata Indica V2,2016,73000,Diesel,First,25.0,1396.0,69.0,220000.00000000003
770,Chevrolet,Chevrolet Cruze LTZ,2011,60000,Diesel,First,18.1,1991.0,147.9,380000.0
771,Toyota,Toyota Innova 2.5,2016,50000,Diesel,First,12.8,2494.0,102.0,1565000.0
772,Mercedes-Benz,Mercedes-Benz New C-Class,2018,36797,Diesel,First,19.27,2143.0,167.62,3947000.0
773,Maruti,Maruti Ritz VXi,2011,50000,Petrol,Second,18.5,1197.0,85.8,150000.0
774,Toyota,Toyota Innova 2.5,2013,94000,Diesel,First,12.8,2494.0,102.0,885000.0
775,Toyota,Toyota Fortuner 4x4,2013,74000,Diesel,Second,12.55,2982.0,168.5,1789999.9999999998
776,Hyundai,Hyundai i10 Sportz,2014,41016,Petrol,Second,16.95,1197.0,78.9,508000.0
777,Hyundai,Hyundai Verna 1.6,2012,67000,Diesel,First,22.32,1582.0,126.32,625000.0
778,Audi,Audi Q3 2012-2015,2015,76927,Diesel,First,15.73,1968.0,174.33,2275000.0
779,Chevrolet,Chevrolet Beat LS,2010,17088,Petrol,First,18.6,1199.0,79.4,146000.0
780,Ford,Ford Fiesta 1.4,2007,112808,Diesel,Second,17.8,1399.0,68.0,204999.99999999997
781,Ford,Ford Figo Diesel,2014,74980,Diesel,First,20.0,1399.0,68.0,408000.0
782,Maruti,Maruti Celerio VXI,2014,44600,Petrol,First,23.1,998.0,67.04,455000.0
783,Mercedes-Benz,Mercedes-Benz A Class,2013,37000,Diesel,First,20.0,2143.0,107.3,1400000.0
784,Hyundai,Hyundai Creta 1.6,2016,21000,Petrol,First,15.8,1591.0,121.3,1090000.0
785,Maruti,Maruti Wagon R,2010,81245,Petrol,First,18.9,998.0,67.1,245000.00000000003
786,Mercedes-Benz,Mercedes-Benz E-Class 2009-2013,2013,70000,Diesel,First,10.0,2148.0,170.0,1580000.0
787,Ford,Ford EcoSport 1.5,2017,4018,Petrol,First,18.88,1499.0,110.4,825000.0
788,Renault,Renault Koleos 2.0,2013,70000,Diesel,Second,13.73,1995.0,148.0,850000.0
789,Mahindra,Mahindra XUV500 W10,2016,56532,Diesel,First,16.0,2179.0,140.0,1554000.0
790,Maruti,Maruti Omni E,2013,26875,Petrol,First,16.8,796.0,34.2,235000.0
791,Maruti,Maruti Wagon R,2015,72599,Petrol,First,22.5,998.0,67.04,432000.0
792,Ford,Ford Endeavour XLT,2008,205000,Diesel,Second,13.1,2499.0,141.0,390000.0
793,Hyundai,Hyundai Verna 1.6,2011,98000,Diesel,Second,22.32,1582.0,126.32,520000.0
794,Hyundai,Hyundai i20 Magna,2018,19500,Petrol,First,18.6,1197.0,81.83,585000.0
795,Maruti,Maruti Ertiga ZXI,2013,68000,Petrol,Second,16.02,1373.0,93.7,625000.0
796,Mahindra,Mahindra XUV500 W9,2019,19654,Diesel,First,14.0,2179.0,155.0,1763000.0
797,Maruti,Maruti SX4 S,2017,26000,Diesel,First,23.65,1248.0,88.5,975000.0
798,Mercedes-Benz,Mercedes-Benz SLK-Class SLK,2015,10000,Petrol,First,18.1,3498.0,306.0,5500000.0
799,Volkswagen,Volkswagen Polo Diesel,2011,75020,Diesel,First,22.07,1199.0,73.9,409999.99999999994
800,Toyota,Toyota Fortuner 4x4,2011,157000,Diesel,First,12.55,2982.0,168.5,1199000.0
801,Mahindra,Mahindra XUV500 W10,2017,43773,Diesel,First,16.0,2179.0,140.0,1354000.0
802,Mercedes-Benz,Mercedes-Benz GLE 250d,2016,21000,Diesel,First,17.9,2143.0,201.15,5600000.0
803,Honda,Honda Jazz 1.2,2016,23280,Petrol,First,18.7,1199.0,88.7,650000.0
804,Maruti,Maruti Swift Dzire,2013,88000,Diesel,First,23.4,1248.0,74.0,475000.0
805,Hyundai,Hyundai Verna 1.6,2014,67000,Petrol,First,17.01,1591.0,121.3,560000.0
806,Ford,Ford Endeavour 3.2,2017,59636,Diesel,First,10.91,3198.0,197.0,2920000.0
807,Hyundai,Hyundai i20 1.2,2018,11000,Petrol,First,18.6,1197.0,81.83,635000.0
808,Honda,Honda City 1.5,2013,60669,Petrol,First,16.8,1497.0,116.3,495000.0
809,Honda,Honda Amaze VX,2018,12000,Diesel,First,27.4,1498.0,98.6,850000.0
810,Hyundai,Hyundai Verna 1.6,2013,35000,Petrol,First,17.1,1591.0,121.3,450000.0
811,Honda,Honda Mobilio S,2015,65000,Diesel,First,24.2,1498.0,98.6,550000.0
812,Maruti,Maruti Ertiga ZDI,2013,39929,Diesel,First,20.77,1248.0,88.8,656000.0
813,Maruti,Maruti Alto K10,2014,49000,Petrol,First,24.07,998.0,67.1,229999.99999999997
814,Toyota,Toyota Qualis FS,2004,77757,Diesel,Second,13.1,2446.0,75.0,350000.0
815,Hyundai,Hyundai i10 Sportz,2016,21456,Petrol,First,20.36,1197.0,78.9,455000.0
816,Skoda,Skoda Laura 1.9,2009,74000,Diesel,Second,17.0,1896.0,105.0,775000.0
817,Hyundai,Hyundai i20 Asta,2015,37000,Petrol,Second,18.6,1197.0,81.83,525000.0
818,BMW,BMW 5 Series,2013,108640,Diesel,First,11.5,2993.0,235.0,2329000.0
819,BMW,BMW 3 Series,2016,38000,Diesel,First,22.69,1995.0,190.0,2399000.0
820,Chevrolet,Chevrolet Aveo 1.4,2010,80000,Petrol,First,14.49,1399.0,92.7,179000.0
821,Mercedes-Benz,Mercedes-Benz E-Class 2009-2013,2011,47000,Diesel,Second,14.21,2143.0,203.0,1390000.0
822,Audi,Audi A6 2011-2015,2013,31000,Diesel,First,17.68,1968.0,174.33,1895000.0
823,Maruti,Maruti Wagon R,2014,40000,Petrol,First,20.51,998.0,67.04,249000.00000000003
824,Renault,Renault KWID RXT,2016,4152,Petrol,First,25.17,799.0,53.3,315000.0
825,Volkswagen,Volkswagen Ameo 1.5,2017,51000,Diesel,First,21.66,1498.0,108.62,645000.0
826,Volkswagen,Volkswagen Polo Diesel,2013,55000,Diesel,First,22.07,1199.0,73.9,425000.0
827,Maruti,Maruti Alto 800,2014,58500,Petrol,First,22.74,796.0,47.3,275000.0
828,Hyundai,Hyundai i20 Asta,2017,58620,Petrol,First,18.6,1197.0,81.83,714000.0
829,Toyota,Toyota Etios Liva,2012,29605,Petrol,First,18.3,1197.0,113.25304969366827,244000.0
830,Hyundai,Hyundai i20 1.2,2012,71172,Petrol,Third,17.0,1197.0,80.0,350000.0
831,Hyundai,Hyundai i20 1.4,2017,12000,Diesel,First,22.54,1396.0,88.73,730000.0
832,Maruti,Maruti Wagon R,2014,25000,Petrol,First,20.51,998.0,67.04,275000.0
833,Hyundai,Hyundai i20 1.4,2017,43000,Diesel,Second,22.54,1396.0,88.73,819999.9999999999
834,Volkswagen,Volkswagen Polo GT,2015,57022,Petrol,First,17.21,1197.0,103.6,651000.0
835,Ford,Ford Figo Diesel,2015,92000,Diesel,First,20.0,1399.0,68.05,425000.0
836,Maruti,Maruti Swift ZXI,2014,33372,Petrol,Second,18.6,1197.0,85.8,621000.0
837,Hyundai,Hyundai Grand i10,2016,52625,Diesel,First,24.0,1120.0,70.0,458000.0
838,Mahindra,Mahindra Xylo H4,2016,215000,Diesel,First,14.02,2179.0,118.3,750000.0
839,Maruti,Maruti Alto Green,2012,65537,CNG,First,26.83,796.0,38.4,210000.0
840,Hyundai,Hyundai i10 Magna,2014,60138,Petrol,First,19.81,1086.0,68.05,409000.0
841,Skoda,Skoda Octavia Elegance,2014,84000,Diesel,First,19.3,1968.0,141.0,1075000.0
842,BMW,BMW X5 2014-2019,2014,47000,Diesel,First,15.97,2993.0,258.0,4150000.0
843,Maruti,Maruti Celerio VXI,2014,33450,Petrol,First,23.1,998.0,67.04,440000.00000000006
844,Volkswagen,Volkswagen Vento Diesel,2013,125000,Diesel,Second,20.54,1598.0,103.6,625000.0
845,BMW,BMW 3 Series,2011,99606,Diesel,Second,16.07,1995.0,181.0,1050000.0
846,Maruti,Maruti Ertiga ZDI,2014,64000,Diesel,First,20.77,1248.0,88.8,725000.0
847,Ford,Ford Figo Diesel,2013,51000,Diesel,First,20.0,1399.0,68.05,320000.0
848,Volkswagen,Volkswagen Polo 1.2,2014,57000,Petrol,First,16.47,1198.0,74.0,395000.0
849,Audi,Audi A6 3.0,2009,48040,Diesel,Second,16.77,2967.0,241.38,1207000.0
850,Toyota,Toyota Innova Crysta,2017,43200,Diesel,First,13.68,2393.0,147.8,1860000.0000000002
851,Hyundai,Hyundai Verna 1.6,2013,66000,Diesel,First,22.32,1582.0,126.3,570000.0
852,Hyundai,Hyundai Santro Xing,2013,31000,Petrol,First,17.92,1086.0,62.1,175000.0
853,Audi,Audi A4 2.0,2011,46000,Diesel,Second,16.55,1968.0,147.51,1099000.0
854,Audi,Audi A4 2.0,2012,47346,Diesel,First,16.55,1968.0,147.51,1450000.0
855,Skoda,Skoda Laura 1.9,2009,100000,Diesel,First,17.0,1896.0,105.0,311000.0
856,Honda,Honda CR-V 2.0L,2015,63856,Petrol,First,13.7,1997.0,153.86,1396000.0
857,Hyundai,Hyundai Verna 1.6,2015,72996,Diesel,First,22.32,1582.0,126.32,711000.0
858,Honda,Honda Mobilio RS,2014,23000,Diesel,First,24.5,1498.0,98.6,690000.0
859,Hyundai,Hyundai i20 1.2,2018,15985,Petrol,First,18.6,1197.0,81.83,777000.0
860,Toyota,Toyota Innova 2.5,2011,98000,Diesel,Second,12.8,2494.0,102.0,550000.0
861,Hyundai,Hyundai i20 Magna,2014,70089,Petrol,First,18.6,1197.0,81.83,535000.0
862,Mahindra,Mahindra Bolero VLX,2011,99000,Diesel,Second,13.6,2523.0,63.0,450000.0
863,Volkswagen,Volkswagen Vento 1.5,2014,72000,Diesel,First,20.34,1498.0,103.2,475000.0
864,Jaguar,Jaguar XF 2.2,2015,44194,Diesel,First,16.36,2179.0,187.7,3279999.9999999995
865,Maruti,Maruti Zen LXi,2005,102000,Petrol,First,17.3,993.0,60.0,70000.0
866,Mercedes-Benz,Mercedes-Benz E-Class Facelift,2018,56652,Diesel,First,13.0,2987.0,258.0,5029000.0
867,Toyota,Toyota Fortuner 3.0,2010,41650,Diesel,Second,11.5,2982.0,171.0,1099000.0
868,Hyundai,Hyundai Grand i10,2015,61717,Petrol,First,18.9,1197.0,82.0,557000.0
869,Hyundai,Hyundai Xcent 1.2,2018,25302,Diesel,First,25.4,1186.0,73.97,590000.0
870,Hyundai,Hyundai Creta 1.6,2016,47016,Petrol,First,15.29,1591.0,121.3,943000.0
871,Hyundai,Hyundai i10 Sportz,2010,69000,Petrol,First,20.36,1197.0,78.9,290000.0
872,Honda,Honda Brio S,2016,32700,Petrol,First,19.4,1198.0,86.8,368000.0
873,Toyota,Toyota Fortuner 4x2,2015,101337,Diesel,First,12.55,2982.0,168.5,2167000.0
874,Audi,Audi A4 2.0,2011,59000,Diesel,First,16.55,1968.0,140.0,1250000.0
875,Toyota,Toyota Innova Crysta,2018,41736,Diesel,First,11.36,2755.0,171.5,1992000.0000000002
876,Honda,Honda City i,2014,71649,Diesel,First,25.1,1498.0,98.6,675000.0
877,Honda,Honda City i,2015,80606,Diesel,First,25.1,1498.0,98.6,696000.0
878,Renault,Renault KWID 1.0,2017,63262,Petrol,First,21.7,999.0,67.0,325000.0
879,Maruti,Maruti Swift DDiS,2018,5456,Diesel,First,28.4,1248.0,74.0,865000.0
880,Maruti,Maruti Celerio VXI,2017,7500,Petrol,First,23.1,998.0,67.04,500000.0
881,Mahindra,Mahindra XUV500 W8,2011,66000,Diesel,First,15.1,2179.0,140.0,550000.0
882,Hyundai,Hyundai i10 Magna,2010,66770,Petrol,Second,20.36,1197.0,78.9,260000.0
883,Hyundai,Hyundai i10 Magna,2014,58472,Petrol,First,19.81,1086.0,68.05,341000.0
884,Maruti,Maruti Dzire VXI,2011,46687,Petrol,First,22.0,1197.0,81.8,270000.0
885,Maruti,Maruti Grand Vitara,2008,77000,Petrol,Fourth & Above,9.7,1995.0,163.5,550000.0
886,Audi,Audi TT 40,2012,7000,Petrol,First,14.33,1984.0,226.6,3500000.0
887,Mercedes-Benz,Mercedes-Benz New C-Class,2011,48000,Petrol,Second,14.74,1991.0,184.0,975000.0
888,Nissan,Nissan Sunny 2011-2014,2013,47000,Diesel,First,21.64,1461.0,84.8,425000.0
889,Maruti,Maruti Wagon R,2015,51530,Petrol,First,18.9,998.0,67.1,320000.0
890,Maruti,Maruti Swift Dzire,2014,25789,Diesel,Second,23.4,1248.0,74.0,685000.0
891,Honda,Honda Amaze S,2015,48000,Diesel,First,25.8,1498.0,98.6,450000.0
892,Maruti,Maruti Swift ZDI,2012,52000,Diesel,First,28.4,1248.0,74.0,355000.0
893,Hyundai,Hyundai Accent Executive,2010,95637,CNG,Second,13.2,1495.0,93.7,190000.0
894,Mahindra,Mahindra Scorpio LX,2008,131000,Diesel,First,10.5,2609.0,120.0,360000.0
895,Mercedes-Benz,Mercedes-Benz E-Class E250,2015,42076,Diesel,First,13.0,2143.0,201.1,2180000.0
896,Toyota,Toyota Fortuner 4x2,2012,76000,Diesel,Second,13.0,2982.0,168.5,1350000.0
897,Datsun,Datsun redi-GO T,2016,20487,Petrol,First,22.7,799.0,53.64,266000.0
898,Honda,Honda City V,2010,43000,Petrol,Second,16.8,1497.0,116.3,375000.0
899,Toyota,Toyota Camry Hybrid,2018,17000,Petrol,First,19.16,2494.0,158.2,3200000.0
900,Honda,Honda City i,2016,60805,Diesel,First,26.0,1498.0,98.6,807000.0
901,Volkswagen,Volkswagen Jetta 2012-2014,2012,58775,Diesel,First,19.33,1968.0,138.1,564000.0
902,Audi,Audi A6 2011-2015,2013,70181,Diesel,First,17.68,1968.0,174.33,2399000.0
903,Maruti,Maruti Ertiga VDI,2016,85827,Diesel,First,20.77,1248.0,88.76,750000.0
904,Mercedes-Benz,Mercedes-Benz New C-Class,2016,58205,Diesel,First,19.27,2143.0,167.62,2700000.0
905,Maruti,Maruti Swift Dzire,2008,91000,Diesel,Second,19.3,1248.0,73.9,285000.0
906,Renault,Renault Duster 110PS,2012,74000,Diesel,First,19.01,1461.0,108.45,635000.0
907,Maruti,Maruti Ritz VDi,2010,79324,Diesel,First,21.1,1248.0,73.9,330000.0
908,Maruti,Maruti Swift Dzire,2013,38623,Petrol,First,19.1,1197.0,85.8,500000.0
909,Maruti,Maruti Swift ZDi,2014,59923,Diesel,First,22.9,1248.0,74.0,646000.0
910,Hyundai,Hyundai EON Sportz,2017,23360,Petrol,First,21.1,814.0,55.2,375000.0
911,Maruti,Maruti Zen VXI,2003,61495,Petrol,Third,17.3,993.0,60.0,152000.0
912,Maruti,Maruti Eeco 7,2012,56661,Petrol,First,15.1,1196.0,73.0,361000.0
913,Audi,Audi Q5 30,2017,40318,Diesel,First,14.16,1968.0,174.3,4374000.0
914,Audi,Audi Q3 2.0,2014,60000,Diesel,First,15.73,1968.0,174.33,2000000.0
915,Smart,Smart Fortwo CDI,2008,103000,Diesel,Second,0.0,799.0,113.25304969366827,300000.0
916,Maruti,Maruti Swift Dzire,2010,130000,Diesel,First,19.3,1248.0,73.9,365000.0
917,Tata,Tata Sumo DX,2013,20000,Diesel,First,14.07,1978.0,83.1,525000.0
918,BMW,BMW X5 2014-2019,2016,76000,Diesel,First,15.97,2993.0,258.0,5800000.0
919,Honda,Honda City i-VTEC,2015,30000,Petrol,First,18.0,1497.0,117.3,865000.0
920,Tata,Tata Indigo eCS,2015,150000,Diesel,First,25.0,1396.0,69.01,250000.0
921,Volkswagen,Volkswagen Vento TSI,2014,28000,Petrol,First,16.93,1197.0,103.6,775000.0
922,Maruti,Maruti Celerio VXI,2015,74000,Petrol,First,23.1,998.0,67.04,415000.00000000006
923,Toyota,Toyota Fortuner 3.0,2011,75000,Diesel,First,11.5,2982.0,171.0,1085000.0
924,Mitsubishi,Mitsubishi Outlander 2.4,2010,76000,Petrol,Second,11.3,2360.0,170.0,553000.0
925,Volkswagen,Volkswagen Jetta 2007-2011,2014,64889,Diesel,First,15.5,1896.0,105.0,1150000.0
926,Porsche,Porsche Cayman 2009-2012,2010,10000,Petrol,First,9.0,3436.0,113.25304969366827,4000000.0
927,Hyundai,Hyundai Creta 1.6,2015,43000,Diesel,First,19.67,1582.0,126.2,925000.0
928,Skoda,Skoda Fabia 1.2,2011,47490,Petrol,First,17.5,1198.0,75.0,229000.0
929,Ford,Ford EcoSport 1.5,2015,80000,Diesel,First,22.77,1498.0,98.59,700000.0
930,Maruti,Maruti Zen Estilo,2007,60000,Petrol,Second,18.2,1061.0,64.0,165000.0
931,Maruti,Maruti Ciaz 1.4,2017,6006,Petrol,First,20.73,1373.0,91.1,825000.0
932,Mercedes-Benz,Mercedes-Benz New C-Class,2011,71703,Petrol,First,14.74,1991.0,181.03,914000.0
933,Honda,Honda Amaze SX,2016,33000,Petrol,First,17.8,1198.0,86.7,650000.0
934,Toyota,Toyota Etios GD,2012,60000,Diesel,First,23.59,1364.0,113.25304969366827,295000.0
935,Renault,Renault Duster 85PS,2015,91000,Diesel,First,19.87,1461.0,83.8,575000.0
936,Maruti,Maruti Wagon R,2012,72000,LPG,First,26.2,998.0,58.2,285000.0
937,Volkswagen,Volkswagen Polo Petrol,2011,43000,Petrol,Second,16.47,1198.0,73.9,210000.0
938,Hyundai,Hyundai Creta 1.6,2017,63770,Diesel,First,19.67,1582.0,126.2,1355000.0
939,Jaguar,Jaguar XF Diesel,2012,43510,Diesel,First,14.74,2993.0,270.9,2050000.0
940,Jeep,Jeep Compass 2.0,2017,52000,Diesel,First,16.3,1956.0,170.0,2000000.0
941,Land,Land Rover Range,2018,31427,Diesel,First,15.68,1999.0,177.0,5972000.0
942,Maruti,Maruti Baleno Alpha,2016,29000,Diesel,First,27.39,1248.0,74.0,650000.0
943,Maruti,Maruti Ciaz ZDi,2016,56000,Diesel,First,28.09,1248.0,88.5,750000.0
944,Maruti,Maruti SX4 Vxi,2007,76000,Petrol,Second,15.0,1586.0,104.68,215000.0
945,Hyundai,Hyundai Elantra CRDi,2015,53615,Diesel,First,22.7,1582.0,126.24,844000.0
946,Mitsubishi,Mitsubishi Pajero Sport,2013,132000,Diesel,First,13.5,2477.0,175.56,1249000.0
947,Volkswagen,Volkswagen Ameo 1.2,2017,14800,Petrol,First,17.0,1198.0,73.75,548000.0
948,Maruti,Maruti Ritz VXi,2013,35433,Petrol,First,18.5,1197.0,85.8,420000.0
949,Hyundai,Hyundai Verna CRDi,2013,82966,Diesel,First,16.8,1493.0,110.0,720000.0
950,Maruti,Maruti Swift Dzire,2014,96000,Diesel,First,23.4,1248.0,74.0,480000.0
951,Mahindra,Mahindra KUV 100,2017,39528,Diesel,First,25.32,1198.0,77.0,583000.0
952,Toyota,Toyota Innova Crysta,2018,92056,Diesel,First,13.68,2393.0,147.8,1839000.0
953,Maruti,Maruti Baleno Delta,2016,14930,Petrol,First,21.4,1197.0,83.1,585000.0
954,Honda,Honda Jazz VX,2016,38000,Diesel,First,27.3,1498.0,98.6,621000.0
955,Hyundai,Hyundai i20 1.2,2013,71000,Petrol,First,17.0,1197.0,80.0,365000.0
956,Hyundai,Hyundai i20 Sportz,2012,71000,Diesel,First,23.0,1396.0,90.0,370000.0
957,Mercedes-Benz,Mercedes-Benz New C-Class,2015,50000,Diesel,First,19.27,2143.0,167.62,3000000.0
958,Hyundai,Hyundai Xcent 1.2,2016,48163,Petrol,First,19.1,1197.0,82.0,484999.99999999994
959,Hyundai,Hyundai Grand i10,2017,19168,Petrol,First,18.9,1197.0,82.0,693000.0
960,Maruti,Maruti Alto 800,2016,26000,Petrol,First,22.74,796.0,47.3,260000.0
961,Chevrolet,Chevrolet Sail Hatchback,2014,37400,Petrol,First,18.2,1199.0,82.5,189000.0
962,Mercedes-Benz,Mercedes-Benz C-Class Progressive,2018,8682,Diesel,First,0.0,1950.0,194.0,3950000.0
963,Skoda,Skoda Superb Elegance,2012,95000,Petrol,First,13.7,1798.0,157.75,1000000.0
964,Audi,Audi A4 2.0,2009,34000,Diesel,First,16.55,1968.0,147.51,994999.9999999999
965,Toyota,Toyota Innova 2.5,2014,95000,Diesel,Second,12.8,2494.0,102.0,944999.9999999999
966,Mercedes-Benz,Mercedes-Benz CLA 200,2017,13689,Diesel,First,17.9,2143.0,136.0,2825000.0
967,Hyundai,Hyundai i10 Era,2008,84000,Petrol,Second,19.81,1086.0,68.05,180000.0
968,Maruti,Maruti Swift Dzire,2008,47000,Petrol,Second,17.5,1298.0,85.8,140000.0
969,Skoda,Skoda Rapid 1.5,2015,60001,Diesel,First,21.66,1498.0,103.52,725000.0
970,Maruti,Maruti Ritz VDi,2012,96000,Diesel,First,21.1,1248.0,73.9,360000.0
971,Hyundai,Hyundai Accent GLS,2004,47300,Petrol,Second,14.4,1599.0,94.0,120000.0
972,Honda,Honda Amaze SX,2014,28246,Petrol,Second,17.8,1198.0,86.7,494000.00000000006
973,Maruti,Maruti Wagon R,2007,65000,Petrol,Second,18.9,998.0,67.1,125000.0
974,Volkswagen,Volkswagen Polo Diesel,2013,68000,Diesel,Second,22.07,1199.0,73.9,480000.0
975,Ford,Ford Endeavour 2.2,2019,11209,Diesel,First,12.62,2198.0,158.0,3115000.0
976,Hyundai,Hyundai i20 1.2,2011,41980,Petrol,Second,17.0,1197.0,80.0,330000.0
977,Chevrolet,Chevrolet Beat Diesel,2012,65000,Diesel,First,25.44,936.0,57.6,240000.0
978,Honda,Honda Civic 2010-2013,2010,38000,Petrol,First,14.8,1799.0,130.2,200000.0
979,Maruti,Maruti Wagon R,2014,51000,Petrol,First,20.51,998.0,67.04,310000.0
980,Skoda,Skoda Rapid 1.6,2014,33855,Petrol,First,15.0,1598.0,103.6,509000.0
981,Maruti,Maruti Baleno Vxi,2006,146000,Petrol,Second,15.4,1590.0,94.0,105000.0
982,Ford,Ford EcoSport 1.5,2015,47037,Diesel,Second,22.77,1498.0,98.59,700000.0
983,Hyundai,Hyundai Accent GLE,2010,58000,Petrol,Second,13.2,1495.0,94.0,250000.0
984,BMW,BMW 5 Series,2012,61240,Diesel,First,22.48,1995.0,190.0,1750000.0
985,Maruti,Maruti Alto K10,2011,91211,Petrol,First,20.92,998.0,67.1,210000.0
986,Audi,Audi Q3 2012-2015,2013,84000,Diesel,First,15.73,1968.0,174.33,1775000.0
987,Maruti,Maruti Wagon R,2008,64226,LPG,First,17.3,1061.0,57.5,145000.0
988,Toyota,Toyota Corolla H4,2005,67000,Petrol,Second,11.3,1794.0,125.0,245000.00000000003
989,Volvo,Volvo XC60 D5,2011,106976,Diesel,First,13.5,2400.0,215.0,1380000.0
990,Honda,Honda Jazz 1.5,2016,27210,Diesel,First,27.3,1498.0,98.6,585000.0
991,Maruti,Maruti Ciaz 1.3,2017,26322,Diesel,First,28.09,1248.0,88.5,890000.0
992,Maruti,Maruti Swift VXI,2016,9107,Petrol,First,20.4,1197.0,81.8,515000.00000000006
993,Mercedes-Benz,Mercedes-Benz New C-Class,2015,63983,Diesel,First,19.27,2143.0,170.0,1655999.9999999998
994,Maruti,Maruti Wagon R,2010,134000,Petrol,Second,18.9,1061.0,67.0,165000.0
995,Mercedes-Benz,Mercedes-Benz A Class,2015,11000,Petrol,First,15.5,1595.0,120.7,1600000.0
996,Hyundai,Hyundai Santro Xing,2008,93000,Petrol,First,0.0,1086.0,62.0,145000.0
997,Maruti,Maruti Swift Dzire,2017,24852,Diesel,First,26.59,1248.0,74.0,808000.0
998,Hyundai,Hyundai Grand i10,2014,37632,Petrol,First,18.9,1197.0,82.0,450000.0
999,Nissan,Nissan Sunny 2011-2014,2013,55000,Petrol,Second,16.95,1498.0,97.7,430000.0
1000,Maruti,Maruti A-Star Lxi,2010,81448,Petrol,First,19.0,998.0,66.1,260000.0
1001,Renault,Renault KWID RXT,2018,1900,Petrol,First,25.17,799.0,53.3,445000.0
1002,Hyundai,Hyundai Verna 1.6,2012,54957,Petrol,First,17.1,1591.0,121.4,537000.0
1003,Maruti,Maruti Wagon R,2008,55000,Petrol,Second,18.9,1061.0,67.0,175000.0
1004,BMW,BMW 3 Series,2013,21983,Diesel,First,18.88,1995.0,184.0,1650000.0
1005,BMW,BMW 5 Series,2013,76000,Diesel,First,18.48,1995.0,177.0,1900000.0
1006,Tata,Tata Indigo CS,2016,65000,Diesel,First,25.0,1396.0,69.01,280000.0
1007,Hyundai,Hyundai i20 Sportz,2015,26000,Diesel,First,22.54,1396.0,88.73,620000.0
1008,Maruti,Maruti Omni E,2019,11571,Petrol,First,16.8,796.0,34.2,380000.0
1009,Maruti,Maruti Swift ZDi,2014,81000,Diesel,First,25.2,1248.0,74.0,610000.0
1010,Ford,Ford Ecosport Signature,2019,23154,Diesel,First,23.0,1498.0,98.96,1165000.0
1011,Honda,Honda Brio VX,2014,26856,Petrol,First,16.5,1198.0,86.8,415000.00000000006
1012,Toyota,Toyota Innova Crysta,2017,67489,Diesel,First,13.68,2393.0,147.8,1650000.0
1013,Mahindra,Mahindra Scorpio 2.6,2008,176000,Diesel,Second,10.5,2179.0,120.0,430000.0
1014,Hyundai,Hyundai i20 1.2,2010,18000,Petrol,First,18.5,1197.0,80.0,225000.0
1015,Hyundai,Hyundai Verna 1.6,2014,63003,Diesel,First,22.32,1582.0,126.32,675000.0
1016,Mahindra,Mahindra XUV500 W6,2014,80000,Diesel,First,15.1,2179.0,140.0,940000.0
1017,Volkswagen,Volkswagen Vento 1.5,2014,56658,Diesel,First,20.64,1498.0,108.5,539000.0
1018,Maruti,Maruti Swift Dzire,2019,18592,Diesel,First,26.59,1248.0,74.0,851000.0
1019,Tata,Tata Manza Aura,2010,75695,Petrol,First,13.7,1368.0,88.8,185000.0
1020,Maruti,Maruti Swift VDI,2012,82000,Diesel,Second,22.9,1248.0,74.0,250000.0
1021,Volkswagen,Volkswagen Polo Diesel,2013,60000,Diesel,First,22.07,1199.0,73.9,475000.0
1022,Honda,Honda City 1.5,2009,138000,Petrol,Second,17.0,1497.0,118.0,350000.0
1023,Hyundai,Hyundai i20 Asta,2014,67000,Diesel,First,23.0,1396.0,90.0,550000.0
1024,Honda,Honda City 1.5,2012,42750,Petrol,First,17.0,1497.0,118.0,633000.0
1025,Chevrolet,Chevrolet Beat Diesel,2014,52398,Diesel,First,25.44,936.0,57.6,247000.00000000003
1026,Chevrolet,Chevrolet Spark 1.0,2014,36657,Petrol,First,16.2,995.0,62.1,330000.0
1027,Tata,Tata New Safari,2011,77000,Diesel,Second,11.57,2179.0,138.1,350000.0
1028,Mercedes-Benz,Mercedes-Benz GL-Class 350,2014,85000,Diesel,First,11.3,2987.0,254.8,3875000.0
1029,BMW,BMW 5 Series,2008,112500,Diesel,First,11.5,2993.0,235.0,799000.0
